GeneName	GoTerm
YAL016W	GO:0006417
YAL017W	GO:0006468
YAL017W	GO:0045719
YAL017W	GO:0035556
YAL017W	GO:0060917
YAL017W	GO:0016310
YAL017W	GO:0006417
YAL018C	GO:0030476
YAL018C	GO:0030435
YAL019W	GO:0000122
YAL019W	GO:0006974
YAL019W	GO:0000183
YAL019W	GO:0016584
YAL019W	GO:0006281
YAL019W	GO:0006325
YAL019W	GO:0006338
YAL019W	GO:0000729
YAL019W	GO:0006348
YAL019W	GO:0032508
YAL019W	GO:0070869
YAL019W	GO:0030466
YAL019W	GO:0043044
YAL019W	GO:0070870
YAL019W	GO:0042766
YAL020C	GO:0007117
YAL020C	GO:0000226
YAL020C	GO:0002098
YAL021C	GO:0006368
YAL021C	GO:0006260
YAL021C	GO:0006357
YAL021C	GO:0090503
YAL021C	GO:0048478
YAL021C	GO:0090305
YAL021C	GO:0007089
YAL021C	GO:0000076
YAL021C	GO:0000289
YAL021C	GO:0000288
YAL021C	GO:0032968
YAL022C	GO:0015858
YAL022C	GO:0034258
YAL022C	GO:1901642
YAL022C	GO:0015851
YAL022C	GO:0055085
YAL023C	GO:0032527
YAL023C	GO:0006493
YAL023C	GO:0035269
YAL023C	GO:0006486
YAL023C	GO:0071712
YAL023C	GO:1900101
YAL023C	GO:0031505
YAL024C	GO:0007049
YAL024C	GO:0016192
YAL024C	GO:0051301
YAL024C	GO:0031536
YAL024C	GO:0007264
YAL024C	GO:0061510
YAL024C	GO:0031578
YAL025C	GO:0007049
YAL025C	GO:0000463
YAL025C	GO:0042273
YAL025C	GO:0000466
YAL026C	GO:0045332
YAL026C	GO:0000749
YAL026C	GO:0006892
YAL026C	GO:0000028
YAL026C	GO:0006897
YAL026C	GO:0015914
YAL026C	GO:0140331
YAL026C	GO:0006886
YAL026C	GO:0032456
YAL027W	GO:0006974
YAL027W	GO:0006281
YAL027W	GO:0000736
YAL027W	GO:0032079
YAL028W	GO:0071472
YAL028W	GO:0071469
YAL029C	GO:0051028
YAL029C	GO:0008298
YAL029C	GO:0048309
YAL029C	GO:0007533
YAL030W	GO:0016192
YAL030W	GO:0006887
YAL030W	GO:0006906
YAL030W	GO:0006897
YAL030W	GO:0006893
YAL031C	GO:0007059
YAL031C	GO:0043666
YAL032C	GO:0000398
YAL032C	GO:0008380
YAL032C	GO:0006397
YAL032C	GO:0000350
YAL033W	GO:0034965
YAL033W	GO:0090501
YAL033W	GO:0090502
YAL033W	GO:0008033
YAL033W	GO:0000294
YAL033W	GO:0006364
YAL033W	GO:0016070
YAL034C	GO:0035066
YAL034C	GO:0006338
YAL034C	GO:0016573
YAL034C	GO:1903508
YAL034C	GO:0008150
YAL034C	GO:0006357
YAL034W-A	GO:0051382
YAL034W-A	GO:0000070
YAL034W-A	GO:0051301
YAL034W-A	GO:0007049
YAL034W-A	GO:0000278
YAL034W-A	GO:0034501
YAL034W-A	GO:0007059
YAL035W	GO:0006412
YAL035W	GO:0006413
YAL035W	GO:0006446
YAL035W	GO:0001732
YAL035W	GO:0000462
YAL035W	GO:0042255
YAL036C	GO:0002181
YAL036C	GO:1903833
YAL037C-A	GO:0008150
YAL037W	GO:0008150
